EUW1_6931938178,21.5667,RED,RED,2,None,0
EUW1_6932016486,36.3667,RED,RED,5,RED,0
EUW1_6932208399,17.8833,BLUE,RED,2,None,1
EUW1_6932254842,47.0333,RED,BLUE,6,BLUE,0
EUW1_6932302237,32.2667,BLUE,BLUE,3,BLUE,0
EUW1_6932659997,49.25,BLUE,RED,7,BLUE,0
EUW1_6932667960,2.85,BLUE,None,0,None,0
EUW1_6932675890,34.5167,BLUE,RED,5,RED,0
EUW1_6932778848,35.7833,BLUE,BLUE,5,BLUE,0
EUW1_6932840992,44.6,RED,BLUE,6,BLUE,0
EUW1_6933231592,30,RED,RED,5,RED,0
EUW1_6933301551,36.3833,RED,BLUE,6,BLUE,0
EUW1_6933848072,21.4167,RED,RED,2,None,0
EUW1_6934017814,20.6333,RED,BLUE,2,None,0
EUW1_6934032247,30.1667,BLUE,RED,3,BLUE,0
EUW1_6934128417,26.7833,RED,RED,4,RED,0
EUW1_6934172411,25.8333,BLUE,RED,3,BLUE,0
EUW1_6934184078,35.95,BLUE,RED,6,BLUE,0
EUW1_6934225479,23.5167,BLUE,RED,3,BLUE,0
EUW1_6934227278,26.75,RED,BLUE,3,RED,0
EUW1_6934268799,15.2,BLUE,BLUE,1,None,1
EUW1_6934341181,31.1,BLUE,RED,5,None,0
EUW1_6934351324,28.5667,BLUE,RED,4,None,1
EUW1_6934387171,42.7667,BLUE,RED,5,RED,0
EUW1_6934455823,29.4333,BLUE,BLUE,4,BLUE,0
EUW1_6934473205,31.1167,RED,RED,4,RED,0
EUW1_6934500172,22.7167,BLUE,RED,3,None,0
EUW1_6934560695,32.8167,BLUE,BLUE,4,BLUE,0
EUW1_6934604845,29.6667,RED,RED,4,RED,0
EUW1_6934658069,27.5333,RED,BLUE,4,RED,0
EUW1_6934708332,28.6833,BLUE,RED,4,BLUE,0
EUW1_6934738858,31,RED,BLUE,5,BLUE,0
EUW1_6934764724,38.6667,RED,BLUE,6,RED,0
EUW1_6934839335,38.6333,RED,RED,5,RED,0
EUW1_6934987145,24.3333,BLUE,BLUE,3,BLUE,0
EUW1_6935179957,16.5833,BLUE,BLUE,2,None,1
EUW1_6935205510,33.3167,BLUE,BLUE,4,RED,0
EUW1_6935366328,27.9333,RED,RED,3,RED,0
EUW1_6935447812,35.5333,BLUE,BLUE,5,RED,0
EUW1_6935498893,31.4167,BLUE,BLUE,4,RED,0
EUW1_6936112629,19.0667,RED,BLUE,2,None,1
EUW1_6936120869,27.6667,BLUE,RED,4,BLUE,0
EUW1_6936134263,28.6667,RED,RED,4,RED,0
EUW1_6936183235,29.3833,BLUE,BLUE,4,BLUE,1
EUW1_6936201680,31.2,RED,RED,4,RED,0
EUW1_6936227537,30.25,RED,RED,4,RED,0
EUW1_6936236269,26.2,RED,RED,4,RED,1
EUW1_6936265297,29.7167,BLUE,RED,4,RED,0
EUW1_6936299448,16.0333,BLUE,RED,2,None,1
EUW1_6936622201,31.9833,BLUE,BLUE,4,BLUE,0
EUW1_6936680609,26.65,BLUE,RED,3,None,0
EUW1_6936737668,22.8167,BLUE,RED,2,BLUE,0
EUW1_6936742403,29.9167,BLUE,BLUE,4,BLUE,0
EUW1_6936833184,43.9833,RED,RED,7,RED,0
EUW1_6936921480,26.05,RED,BLUE,4,RED,1
EUW1_6936965369,28.0333,BLUE,BLUE,4,None,0
EUW1_6936974079,32.5,BLUE,RED,5,BLUE,0
EUW1_6937019675,40.0833,BLUE,BLUE,6,RED,0
EUW1_6937025358,4.85,RED,None,0,None,1
EUW1_6937044841,25.2,RED,BLUE,3,None,0
EUW1_6937076560,24.7667,RED,RED,4,RED,0
EUW1_6937104635,31.4,RED,BLUE,5,RED,0
EUW1_6937133017,28.2167,RED,RED,3,RED,0
EUW1_6937200438,23.2,RED,RED,4,None,1
EUW1_6937201551,30.2833,BLUE,RED,4,BLUE,1
EUW1_6937205979,31.7833,RED,BLUE,4,RED,0
EUW1_6937215618,20.5167,BLUE,BLUE,2,None,0
EUW1_6937230174,37.5833,RED,RED,5,RED,0
EUW1_6937238340,39.5333,RED,RED,5,RED,0
EUW1_6937293929,30.5167,RED,RED,3,RED,0
EUW1_6937316162,26.2167,RED,BLUE,4,None,1
EUW1_6937331383,30.2667,BLUE,RED,4,BLUE,0
EUW1_6937342135,37.4667,RED,RED,5,RED,0
EUW1_6937342852,15.3833,RED,BLUE,2,None,1
